resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,device_name,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed
2,"{'id': 100507849, 'resource_state': 1}",Evening Football (Soccer),461.9,2084,2084,0,Soccer,Soccer,Garmin Forerunner 265S,15686607818,2025-09-03T17:16:10Z,2025-09-03T19:16:10Z,(GMT+02:00) Africa/Blantyre,7200.0,,,,0,0,0,1,0,"{'id': 'a15686607818', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,followers_only,False,,[],[],0.222,3.3,71.9,True,137.2,189.0,False,True,0.0,0.0,16756260483,16756260483,garmin_ping_476433096263,False,0,0,False
2,"{'id': 100507849, 'resource_state': 1}",Evening Run,2550.5,849,849,3.0,Run,Run,,Garmin Forerunner 265S,15680058282,2025-08-21T16:09:04Z,2025-08-21T18:09:04Z,(GMT+01:00) Europe/Paris,7200.0,,,,0,0,0,2,0,"{'id': 'a15680058282', 'summary_polyline': 'uaxgGv{_Ij@s@v@m@`@c@ZS\\c@b@_AVgAt@sBn@aA^[dBsAn@o@r@k@|@aANMNSdAcA|AiB`Am@HC`@GtADh@DlA?HBZZ`BJVAJDZTV@PALWTIjAC\\@zAIlAFl@?PB~DJjAAVDp@A~@FhB?RIhA{@p@c@^Ob@[\\MjBkAjAi@f@]xCaBdA_@|@K`@Cv@Ab@@~@L~Ab@XHN?t@XxAX\\Np@RNHbAH', 'resource_state': 2}",False,False,False,False,followers_only,False,g20996699,"[43.382686, -1.644376]","[43.362541, -1.636544]",3.004,3.54,86.5,297.2,364,294,True,252.3,True,152.5,180.0,False,True,3.6,-0.6,16749112320,16749112320,garmin_ping_476272464533,False,0,0,False
2,"{'id': 100507849, 'resource_state': 1}",Afternoon Run,6183.6,1885,1902,9.0,Run,Run,,Garmin Forerunner 265S,15680058300,2025-08-21T15:16:51Z,2025-08-21T17:16:51Z,(GMT+01:00) Europe/Paris,7200.0,,,,0,0,0,2,0,"{'id': 'a15680058300', 'summary_polyline': 'mwsgGlh~HJg@Vm@Xc@dAqBNS~AcBZUJMf@c@HCh@k@p@k@f@YjAi@`ASLK^Ef@BHAROf@Ev@IhA_@~Ba@tBe@pAe@FGlAy@t@o@`@k@l@cAd@gAZgAl@oCPg@Lo@DKR{@Tu@HM@IXy@ZwAb@qAPs@Pc@LQLIUPU\\YlA_@jAa@bB{@lC[tAQp@G`@s@tCa@fAi@lASZcAlAk@l@UPk@\\SFe@V}@R{C`@oCn@w@Fe@PMBYAM@sBl@qAn@k@\\qAnAMPgBpAu@z@sBnDa@nAUz@q@tAw@~@_Al@s@ZcAXSDe@Ne@V{@TuAX_A@oAKo@Ma@Ec@K{@]iCk@}@YmCk@y@I{@@UAa@Dg@JwA`@YJ{@h@g@PaBdAeCrAq@VgAr@a@Ra@^e@h@SLMB}@?UAg@@iCMg@@gCImBMaCA{@FkB?M@KFKPKFS@i@YKCu@Eu@?MA][KCgCGs@Ig@Bi@P[X{@`Am@h@c@d@w@v@cAjAKFe@f@s@j@STSL_Av@q@n@g@dAk@nBc@dAOTAZGBSXq@f@[Xa@ZaAfAY`@c@x@Mb@W~A@lB@T', 'resource_state': 2}",False,False,False,False,followers_only,False,g20996699,"[43.362446, -1.634305]","[43.382509, -1.645966]",3.28,4.6,86.0,325.3,451,337,True,614.1,True,161.8,195.0,False,True,16.2,2.8,16749112339,16749112339,garmin_ping_476272454225,False,0,0,False
2,"{'id': 100507849, 'resource_state': 1}",Evening Workout,0.0,3183,3183,0,Workout,Workout,,Garmin Forerunner 265S,15680055366,2025-08-19T17:38:08Z,2025-08-19T19:38:08Z,(GMT+02:00) Africa/Blantyre,7200.0,,,,0,0,0,1,0,"{'id': 'a15680055366', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,followers_only,False,,[],[],0.0,0.0,True,111.3,152.0,False,True,0.0,0.0,16749108724,16749108724,garmin_ping_476272439127,False,0,0,False
2,"{'id': 100507849, 'resource_state': 1}",Evening Workout,0.0,3930,3930,0,Workout,Workout,,Garmin Forerunner 265S,15505332876,2025-08-17T17:31:06Z,2025-08-17T19:31:06Z,(GMT+02:00) Africa/Blantyre,7200.0,,,,0,0,0,1,0,"{'id': 'a15505332876', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,followers_only,False,,[],[],0.0,0.0,True,120.8,166.0,False,True,0.0,0.0,16558696212,16558696212,garmin_ping_470951578455,False,0,0,False
2,"{'id': 100507849, 'resource_state': 1}",Evening Workout,0.0,3269,3269,0,Workout,Workout,,Garmin Forerunner 265S,15435928249,2025-08-12T17:06:11Z,2025-08-12T19:06:11Z,(GMT+02:00) Africa/Blantyre,7200.0,,,,0,0,0,1,0,"{'id': 'a15435928249', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,followers_only,False,,[],[],0.0,0.0,True,137.0,179.0,False,True,0.0,0.0,16484489567,16484489567,garmin_ping_468856923854,False,0,0,False
2,"{'id': 100507849, 'resource_state': 1}",Evening Workout,0.0,2522,2522,0,Workout,Workout,,Garmin Forerunner 265S,15423447244,2025-08-11T16:36:27Z,2025-08-11T18:36:27Z,(GMT+02:00) Africa/Blantyre,7200.0,,,,0,3,0,1,0,"{'id': 'a15423447244', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,followers_only,False,,[],[],0.0,0.0,True,134.0,172.0,False,True,0.0,0.0,16471192567,16471192567,garmin_ping_468497219612,False,0,0,False
2,"{'id': 100507849, 'resource_state': 1}",Evening Workout,0.0,2484,2484,0,Workout,Workout,,Garmin Forerunner 265S,15367696713,2025-08-06T17:00:22Z,2025-08-06T19:00:22Z,(GMT+02:00) Africa/Blantyre,7200.0,,,,0,1,0,1,0,"{'id': 'a15367696713', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,followers_only,False,,[],[],0.0,0.0,True,120.2,161.0,False,True,0.0,0.0,16411551635,16411551635,garmin_ping_466800858072,False,0,0,False
2,"{'id': 100507849, 'resource_state': 1}",Evening Workout,0.0,2692,2692,0,Workout,Workout,,Garmin Forerunner 265S,15343318846,2025-08-04T16:30:50Z,2025-08-04T18:30:50Z,(GMT+02:00) Africa/Blantyre,7200.0,,,,0,0,0,1,0,"{'id': 'a15343318846', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,followers_only,False,,[],[],0.0,0.0,True,136.0,179.0,False,True,0.0,0.0,16385597992,16385597992,garmin_ping_466100388449,False,0,0,False
2,"{'id': 100507849, 'resource_state': 1}",Evening Workout,0.0,2219,2219,0,Workout,Workout,,Garmin Forerunner 265S,15289344833,2025-07-30T17:04:11Z,2025-07-30T19:04:11Z,(GMT+02:00) Africa/Blantyre,7200.0,,,,0,0,0,1,0,"{'id': 'a15289344833', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,followers_only,False,,[],[],0.0,0.0,True,119.7,164.0,False,True,0.0,0.0,16327765572,16327765572,garmin_ping_464423226570,False,0,0,False
